0,1,2,3
The Kingdom of Belgium,BE,Brussels-Capital Region,BRU
The Kingdom of Belgium,BE,Flemish Region,VLG,Antwerpen,VAN
The Kingdom of Belgium,BE,Flemish Region,VLG,Limburg,VLI
The Kingdom of Belgium,BE,Flemish Region,VLG,Oost-Vlaanderen,VOV
The Kingdom of Belgium,BE,Flemish Region,VLG,Vlaams-Brabant,VBR
The Kingdom of Belgium,BE,Flemish Region,VLG,West-Vlaanderen,VWV
The Kingdom of Belgium,BE,Walloon Region,WAL,Brabant wallon ,WBR
The Kingdom of Belgium,BE,Walloon Region,WAL,Hainaut ,WHT
The Kingdom of Belgium,BE,Walloon Region,WAL,Liège,WLG
The Kingdom of Belgium,BE,Walloon Region,WAL,Luxembourg,WLX
The Kingdom of Belgium,BE,Walloon Region,WAL,Namur ,WNA
